tagged_text	entity_type	term_id
fenestratus	-2	NCBI:120225
Spondylus	-2	NCBI:102399
Limacina	-2	NCBI:220646
Hyalea	-2	NCBI:145814
Hyalea	-2	NCBI:2612576
Crustacea	-2	NCBI:6657
Cidaris	-2	NCBI:72718
Cerithium	-2	NCBI:145869
lima	-2	NCBI:102304
lima	-2	NCBI:178984
Trochus	-2	NCBI:315782
sanguineus	-2	NCBI:230633
Rissoa	-2	NCBI:195038
basin	-27	ENVO:00000291
shore	-27	ENVO:00000304
Ground	-27	ENVO:00001998
peat	-27	ENVO:00005774
ottia	-2	NCBI:2052955
Atlanta peronii	-2	NCBI:649068
Anomia	-2	NCBI:102290
Hyalea	-2	NCBI:145814
Hyalea	-2	NCBI:2612576
polymorpha	-2	NCBI:991903
clava	-2	NCBI:498517
crassa	-2	NCBI:2510790
crassa	-2	NCBI:688987
Pecten	-2	NCBI:6578
Echinocyamus	-2	NCBI:337425
fenestratus	-2	NCBI:120225
Cidaris	-2	NCBI:72718
Echinus	-2	NCBI:7647
Nucula	-2	NCBI:47128
tetragona	-2	NCBI:60908
Balanus	-2	NCBI:6677
Balanus	-25	BTO:0003118
Serpula	-2	NCBI:249367
Serpula	-2	NCBI:29521
Serpula	-2	NCBI:80744
Cardium	-2	NCBI:268263
Foraminifera	-2	NCBI:29178
Kellia	-2	NCBI:32588
abyssicola	-2	NCBI:83393
ae 2	-25	CLDB:0005133
fossil	-27	ENVO:00002164
t x 9	-2	NCBI:2591889
fossil	-27	ENVO:00002164
Murex	-2	NCBI:57630
Cerithium	-2	NCBI:145869
ata	-2	NCBI:301693
coast	-27	ENVO:00000303
lima	-2	NCBI:102304
lima	-2	NCBI:178984
ovatella	-2	NCBI:999268
shore	-27	ENVO:00000304
Ground	-27	ENVO:00001998
Parthenia	-2	NCBI:35934
vee	-2	NCBI:11036
Eulima	-2	NCBI:2268703
Dentalium	-2	NCBI:39427
utriculus	-2	NCBI:1340100
utriculus	-25	BTO:0001807
Carinaria	-2	NCBI:500093
Atlanta peronii	-2	NCBI:649068
Limacina	-2	NCBI:220646
Hyalea	-2	NCBI:145814
Hyalea	-2	NCBI:2612576
clava	-2	NCBI:498517
striata	-25	BTO:0001311
Serpula	-2	NCBI:249367
Serpula	-2	NCBI:29521
Serpula	-2	NCBI:80744
Ophiura	-2	NCBI:48547
abyssicola	-2	NCBI:83393
Brissus	-2	NCBI:32575
Crustacea	-2	NCBI:6657
Ditrupa	-2	NCBI:344924
Pecten	-2	NCBI:6578
Poromya	-2	NCBI:228508
Kellia	-2	NCBI:32588
abyssicola	-2	NCBI:83393
fossil	-27	ENVO:00002164
abbreviata	-2	NCBI:2017972
Cardita	-2	NCBI:52615
squamosa	-2	NCBI:704607
Ligula	-2	NCBI:94844
Crania	-2	NCBI:317944
Crania	-25	BTO:0001295
ringens	-2	NCBI:1291387
ringens	-2	NCBI:1417422
Murex	-2	NCBI:57630
fossil	-27	ENVO:00002164
Rissoa	-2	NCBI:195038
Parthenia	-2	NCBI:35934
Cerithium	-2	NCBI:145869
lima	-2	NCBI:102304
lima	-2	NCBI:178984
Lottia	-2	NCBI:72691
Scissurella	-2	NCBI:315776
Peracle	-2	NCBI:649080
Hyalea	-2	NCBI:145814
Hyalea	-2	NCBI:2612576
shore	-27	ENVO:00000304
sandy	-27	ENVO:01000017
shore	-27	ENVO:00000304
Ground	-27	ENVO:00001998
Pecten	-2	NCBI:6578
Arca imbricata	-2	NCBI:121025
Nucula	-2	NCBI:47128
striata	-25	BTO:0001311
Kellia	-2	NCBI:32588
abyssicola	-2	NCBI:83393
fossil	-27	ENVO:00002164
abbreviata	-2	NCBI:2017972
Ligula	-2	NCBI:94844
fossil	-27	ENVO:00002164
cClava	-2	NCBI:748999
striata	-25	BTO:0001311
Limacina	-2	NCBI:220646
Foraminifera	-2	NCBI:29178
carapace	-25	BTO:0001701
Amphiura	-2	NCBI:82377
shore	-27	ENVO:00000304
vitrea	-2	NCBI:145602
Ligula	-2	NCBI:94844
Arcaimbricata	-2	NCBI:121025
Dentalium	-2	NCBI:39427
Hyalea	-2	NCBI:145814
Hyalea	-2	NCBI:2612576
Serpula	-2	NCBI:249367
Serpula	-2	NCBI:29521
Serpula	-2	NCBI:80744
