tagged text	entity type	term id
ale o	-2	NCBI:65606
loam	-27	ENVO:00002258
vee	-2	NCBI:11036
aS Sa	-2	NCBI:377306
vee	-2	NCBI:11036
roa	-2	NCBI:1510180
scale	-25	BTO:0005055
silk	-25	BTO:0002854
elevation	-27	ENVO:00000176
lower extremities	-25	BTO:0002345
needle	-25	BTO:0000917
needle	-25	BTO:0000917
MARINE	-27	ENVO:00000447
needle	-25	BTO:0000917
Buccinum	-2	NCBI:37540
Patella pellucida	-2	NCBI:88005
Fissurella nubecula	-2	NCBI:1007046
rugosa	-2	NCBI:1673081
Pholas	-2	NCBI:52915
limestone	-27	ENVO:00002053
sandstone	-27	ENVO:00002055
Pholas	-2	NCBI:52915
slate	-27	ENVO:01000274
Pholas	-2	NCBI:52915
Mollusca	-2	NCBI:6447
shores	-27	ENVO:00000304
coast	-27	ENVO:00000303
Fishes	-2	NCBI:117565
Fishes	-2	NCBI:117569
Fishes	-2	NCBI:118072
Fishes	-2	NCBI:7777
Fishes	-2	NCBI:7878
Fishes	-2	NCBI:7898
Mollusca	-2	NCBI:6447
Fishes	-2	NCBI:117565
Fishes	-2	NCBI:117569
Fishes	-2	NCBI:118072
Fishes	-2	NCBI:7777
Fishes	-2	NCBI:7878
Fishes	-2	NCBI:7898
Mollusca	-2	NCBI:6447
Articulata	-2	NCBI:115369
Articulata	-2	NCBI:35070
coasts	-27	ENVO:00000303
Lucifer	-2	NCBI:117980
Mollusca	-2	NCBI:6447
Cephalopoda	-2	NCBI:6605
Octopus vulgaris	-2	NCBI:6645
Sepia officinalis	-2	NCBI:6610
fishes	-2	NCBI:117565
fishes	-2	NCBI:117569
fishes	-2	NCBI:118072
fishes	-2	NCBI:7777
fishes	-2	NCBI:7878
fishes	-2	NCBI:7898
littoral zone	-27	ENVO:00000316
Sepia	-2	NCBI:6609
island	-27	ENVO:00000098
sandy	-27	ENVO:01000017
shores	-27	ENVO:00000304
Sepiola	-2	NCBI:34536
coast	-27	ENVO:00000303
littoral zone	-27	ENVO:00000316
Octopus	-2	NCBI:6643
Argonauta	-2	NCBI:61686
shores	-27	ENVO:00000304
Pteropoda	-2	NCBI:977783
Pteropoda	-2	NCBI:977783
sea bottom	-27	ENVO:00000482
muddy	-27	ENVO:01000001
Hyalea	-2	NCBI:145814
needles	-25	BTO:0000917
Pteropoda	-2	NCBI:977783
habitat	-27	ENVO:00002036
Carinaria	-2	NCBI:500093
Pteropoda	-2	NCBI:977783
PTEROPODA	-2	NCBI:977783
Hyalea	-2	NCBI:145814
Lycia	-2	NCBI:104487
Lycia	-2	NCBI:24646
striata	-25	BTO:0001311
clava	-2	NCBI:498517
J. minuta	-2	NCBI:120444
J. minuta	-2	NCBI:189241
J. minuta	-2	NCBI:2059960
J. minuta	-2	NCBI:993092
Carinaria	-2	NCBI:500093
j. mediterranea	-2	NCBI:151842
cere	-2	NCBI:297740
Sagitta	-2	NCBI:10230
mediterranea	-2	NCBI:1926659
Lycia	-2	NCBI:104487
Lycia	-2	NCBI:24646
coast	-27	ENVO:00000303
Goniodoris	-2	NCBI:71307
Tethys	-2	NCBI:252555
Smyrna	-2	NCBI:311131
Nudibranchia	-2	NCBI:70849
coast	-27	ENVO:00000303
Nudibranchia	-2	NCBI:70849
Ground	-27	ENVO:00001998
Naxia	-2	NCBI:399042
Lycia	-2	NCBI:104487
Lycia	-2	NCBI:24646
aurata	-2	NCBI:8174
pilosa	-2	NCBI:948950
Goniodoris	-2	NCBI:71307
gracilis	-25	BTO:0000536
Tethys	-2	NCBI:252555
Pelagic	-27	ENVO:00000208
Tritonia	-2	NCBI:152758
Tritonia	-2	NCBI:70852
plebeia	-2	NCBI:57566
pelagica	-2	NCBI:1958736
Smyrna	-2	NCBI:311131
Smyrna	-2	NCBI:311131
zostera	-2	NCBI:27257
Smyrna	-2	NCBI:311131
Elysia	-2	NCBI:71493
Aplysia	-2	NCBI:6499
branchus	-2	NCBI:1271705
convoluta	-2	NCBI:31269
fossil	-27	ENVO:00002164
Dentalia	-2	NCBI:39427
Ditrupa	-2	NCBI:344924
mouth	-25	BTO:0001090
Pleurobranchus	-2	NCBI:157720
Umbrella	-27	ENVO:02000052
mediterranea	-2	NCBI:1926659
Aplysia	-2	NCBI:6499
saltator	-2	NCBI:58204
alata	-2	NCBI:135884
alata	-2	NCBI:1869444
alata	-2	NCBI:321034
alata	-2	NCBI:45677
alata	-2	NCBI:58810
alata	-2	NCBI:63223
akera	-2	NCBI:71500
cornea	-25	BTO:0000286
striata	-25	BTO:0001311
utriculus	-2	NCBI:1340100
utriculus	-25	BTO:0001807
convoluta	-2	NCBI:31269
Volva	-2	NCBI:273629
Haliotis	-2	NCBI:6452
Crepidula	-2	NCBI:52628
fornicata	-2	NCBI:207245
Ground	-27	ENVO:00001998
Rays	-2	NCBI:117893
Geo	-27	ENVO:00000032
Mollusca	-2	NCBI:6447
Fossil	-27	ENVO:00002164
Reptiles	-2	NCBI:1294634
Reptiles	-2	NCBI:8459
Reptiles	-2	NCBI:8504
Fossil	-27	ENVO:00002164
Reptiles	-2	NCBI:1294634
Reptiles	-2	NCBI:8459
