Calyptraea sinensis	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_71	MED-AegeanMolluscaAndRadiata_71
Amphiura chiajei	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_72	MED-AegeanMolluscaAndRadiata_72
Chirodota	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_73	MED-AegeanMolluscaAndRadiata_73
Cucumaria pentactes	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_74	MED-AegeanMolluscaAndRadiata_74
Serpula	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_75	MED-AegeanMolluscaAndRadiata_75
NA	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_76	MED-AegeanMolluscaAndRadiata_76
Annelida	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_77	MED-AegeanMolluscaAndRadiata_77
Crustacea	Gulf of Smyrna_1842-09-12_12.80	MED-AegeanMolluscaAndRadiata_78	MED-AegeanMolluscaAndRadiata_78
Modiola tulipa	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_79	MED-AegeanMolluscaAndRadiata_79
Pecten polymorphus	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_80	MED-AegeanMolluscaAndRadiata_80
Pecten opercularis	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_81	MED-AegeanMolluscaAndRadiata_81
Cardita trapezia	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_82	MED-AegeanMolluscaAndRadiata_82
Cardita sulcata	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_83	MED-AegeanMolluscaAndRadiata_83
Cardium exiguum	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_84	MED-AegeanMolluscaAndRadiata_84
Cardium papillosum	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_85	MED-AegeanMolluscaAndRadiata_85
Arca margaritacea	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_86	MED-AegeanMolluscaAndRadiata_86
Nucula emarginata	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_87	MED-AegeanMolluscaAndRadiata_87
Erycina renierii	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_88	MED-AegeanMolluscaAndRadiata_88
Lucina transversa	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_89	MED-AegeanMolluscaAndRadiata_89
Lucina lactea	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_90	MED-AegeanMolluscaAndRadiata_90
NA	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_91	MED-AegeanMolluscaAndRadiata_91
Pleurotoma attenuatum	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_92	MED-AegeanMolluscaAndRadiata_92
Pleurotoma aegeensis	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_93	MED-AegeanMolluscaAndRadiata_93
Rissoa pulchella	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_94	MED-AegeanMolluscaAndRadiata_94
Trochus magus	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_95	MED-AegeanMolluscaAndRadiata_95
Cerithium lima	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_96	MED-AegeanMolluscaAndRadiata_96
Nerita viridis	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_97	MED-AegeanMolluscaAndRadiata_97
Natica millepunctata	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_98	MED-AegeanMolluscaAndRadiata_98
Natica guilleminii	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_99	MED-AegeanMolluscaAndRadiata_99
Turbonilla (Chemnitzia) elegantissima	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_100	MED-AegeanMolluscaAndRadiata_100
Marginella clandestina	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_101	MED-AegeanMolluscaAndRadiata_101
Bulla striatula	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_102	MED-AegeanMolluscaAndRadiata_102
Bulla ovulata	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_103	MED-AegeanMolluscaAndRadiata_103
Dentalium novemcostatum	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_104	MED-AegeanMolluscaAndRadiata_104
Ophioderma lacertosum	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_105	MED-AegeanMolluscaAndRadiata_105
Echinocyamus	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_106	MED-AegeanMolluscaAndRadiata_106
Crustacea	Bay of Vathy_1841-08-17_18.29-27.43	MED-AegeanMolluscaAndRadiata_107	MED-AegeanMolluscaAndRadiata_107
Modiola tulipa	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_108	MED-AegeanMolluscaAndRadiata_108
Anomia ephippium	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_109	MED-AegeanMolluscaAndRadiata_109
Pecten polymorphus	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_110	MED-AegeanMolluscaAndRadiata_110
Pecten opercularis	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_111	MED-AegeanMolluscaAndRadiata_111
Talochlamys pusio	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_112	MED-AegeanMolluscaAndRadiata_112
Cytherea apicalis	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_113	MED-AegeanMolluscaAndRadiata_113
Cardium exiguum	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_114	MED-AegeanMolluscaAndRadiata_114
Cardium laevigatum	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_115	MED-AegeanMolluscaAndRadiata_115
Cardita trapezia	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_116	MED-AegeanMolluscaAndRadiata_116
Nucula emarginata	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_117	MED-AegeanMolluscaAndRadiata_117
Arca lactea	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_118	MED-AegeanMolluscaAndRadiata_118
Arca tetragona	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_119	MED-AegeanMolluscaAndRadiata_119
Arca barbata	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_120	MED-AegeanMolluscaAndRadiata_120
Erycina renierii	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_121	MED-AegeanMolluscaAndRadiata_121
Tellina balaustina	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_122	MED-AegeanMolluscaAndRadiata_122
Hiatella arctica	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_123	MED-AegeanMolluscaAndRadiata_123
Dentalium novemcostatum	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_124	MED-AegeanMolluscaAndRadiata_124
Natica valenciennesii	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_125	MED-AegeanMolluscaAndRadiata_125
Chiton laevis	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_126	MED-AegeanMolluscaAndRadiata_126
Turbo rugosus	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_127	MED-AegeanMolluscaAndRadiata_127
Trochus crenulatus	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_128	MED-AegeanMolluscaAndRadiata_128
Trochus exiguus	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_129	MED-AegeanMolluscaAndRadiata_129
Trochus zizyphinus	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_130	MED-AegeanMolluscaAndRadiata_130
Cerithium vulgatum	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_131	MED-AegeanMolluscaAndRadiata_131
Cerithium lima	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_132	MED-AegeanMolluscaAndRadiata_132
Triphora adversa	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_133	MED-AegeanMolluscaAndRadiata_133
Aporrhais pespelecani	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_134	MED-AegeanMolluscaAndRadiata_134
NA	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_135	MED-AegeanMolluscaAndRadiata_135
Columbella rustica	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_136	MED-AegeanMolluscaAndRadiata_136
Buccinum linnaei	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_137	MED-AegeanMolluscaAndRadiata_137
Fusus lignarius	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_138	MED-AegeanMolluscaAndRadiata_138
Fusus fasciolarioides	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_139	MED-AegeanMolluscaAndRadiata_139
Murex cristatus	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_140	MED-AegeanMolluscaAndRadiata_140
Pleurotoma formicaria	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_141	MED-AegeanMolluscaAndRadiata_141
Pleurotoma reticulata	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_142	MED-AegeanMolluscaAndRadiata_142
Mitra obsoleta	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_143	MED-AegeanMolluscaAndRadiata_143
Mitra savignyi	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_144	MED-AegeanMolluscaAndRadiata_144
NA	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_145	MED-AegeanMolluscaAndRadiata_145
Asterias	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_146	MED-AegeanMolluscaAndRadiata_146
Ophioderma lacertosum	Head of Cervi Bay_1841-08-29_36.576	MED-AegeanMolluscaAndRadiata_147	MED-AegeanMolluscaAndRadiata_147
