AphiaID	url	scientificname	authority	status	unacceptreason	taxonRankID	rank	valid_AphiaID	valid_name	valid_authority	parentNameUsageID	kingdom	phylum	class	order	family	genus	citation	lsid	isMarine	isBrackish	isFreshwater	isTerrestrial	isExtinct	match_type	modified	id	tool
749286	https://www.marinespecies.org/aphia.php?p=taxdetails&id=749286	Mitra philippiana	Forbes, 1844	unaccepted	synonym	220	Species	1060398	Episcomitra cornicula	(Linnaeus, 1758)	138180	Animalia	Mollusca	Gastropoda	Neogastropoda	Mitridae	Mitra	MolluscaBase eds. (2021). MolluscaBase. Mitra philippiana Forbes, 1844. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=749286 on 2021-01-29	urn:lsid:marinespecies.org:taxname:749286	1	NA	NA	NA	NA	exact	2020-06-05T20:17:55.493Z	749286	aphia_id
146885	https://www.marinespecies.org/aphia.php?p=taxdetails&id=146885	Danilia tinei	(Calcara, 1839)	accepted	NA	220	Species	146885	Danilia tinei	(Calcara, 1839)	138589	Animalia	Mollusca	Gastropoda	Seguenziida	Chilodontaidae	Danilia	MolluscaBase eds. (2021). MolluscaBase. Danilia tinei (Calcara, 1839). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=146885 on 2021-01-29	urn:lsid:marinespecies.org:taxname:146885	1	NA	NA	NA	NA	exact	2010-11-20T06:23:38.557Z	146885	aphia_id
138838	https://www.marinespecies.org/aphia.php?p=taxdetails&id=138838	Atlanta peronii	Lesueur, 1817	accepted	NA	220	Species	138838	Atlanta peronii	Lesueur, 1817	137687	Animalia	Mollusca	Gastropoda	Littorinimorpha	Atlantidae	Atlanta	MolluscaBase eds. (2021). MolluscaBase. Atlanta peronii Lesueur, 1817. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138838 on 2021-01-29	urn:lsid:marinespecies.org:taxname:138838	1	NA	NA	NA	0	exact	2018-09-07T03:47:48.633Z	138838	aphia_id
606278	https://www.marinespecies.org/aphia.php?p=taxdetails&id=606278	Hyalaea gibbosa	d'Orbigny, 1835	unaccepted	original combination	220	Species	139028	Cavolinia gibbosa	(d'Orbigny, 1835)	606265	Animalia	Mollusca	Gastropoda	Pteropoda	Cavoliniidae	Hyalaea	MolluscaBase eds. (2021). MolluscaBase. Hyalaea gibbosa d'Orbigny, 1835. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=606278 on 2021-01-29	urn:lsid:marinespecies.org:taxname:606278	1	NA	NA	NA	NA	exact	2018-04-20T08:39:13.897Z	606278	aphia_id
605988	https://www.marinespecies.org/aphia.php?p=taxdetails&id=605988	Creseis clava	(Rang, 1828)	unaccepted	NA	220	Species	139034	Creseis acicula	(Rang, 1828)	137752	Animalia	Mollusca	Gastropoda	Pteropoda	Creseidae	Creseis	MolluscaBase eds. (2021). MolluscaBase. Creseis clava (Rang, 1828). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=605988 on 2021-01-29	urn:lsid:marinespecies.org:taxname:605988	1	0	0	0	0	exact	2018-12-23T06:22:20.017Z	605988	aphia_id
606006	https://www.marinespecies.org/aphia.php?p=taxdetails&id=606006	Creseis spinifera	(Rang, 1828)	unaccepted	NA	220	Species	139048	Styliola subula	(Quoy & Gaimard, 1827)	137752	Animalia	Mollusca	Gastropoda	Pteropoda	Creseidae	Creseis	MolluscaBase eds. (2021). MolluscaBase. Creseis spinifera (Rang, 1828). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=606006 on 2021-01-29	urn:lsid:marinespecies.org:taxname:606006	1	NA	NA	NA	NA	exact	2018-08-24T22:21:39.367Z	606006	aphia_id
124826	https://www.marinespecies.org/aphia.php?p=taxdetails&id=124826	Pectinura vestita	Forbes, 1843	accepted	NA	220	Species	124826	Pectinura vestita	Forbes, 1843	123548	Animalia	Echinodermata	Ophiuroidea	Ophiacanthida	Ophiacanthida incertae sedis	Pectinura	Stöhr, S.; O’Hara, T.; Thuy, B. (Eds) (2021). World Ophiuroidea Database. Pectinura vestita Forbes, 1843. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=124826 on 2021-01-29	urn:lsid:marinespecies.org:taxname:124826	1	0	0	0	NA	exact	2007-07-18T12:17:12.423Z	124826	aphia_id
1292	https://www.marinespecies.org/aphia.php?p=taxdetails&id=1292	Anthozoa	Ehrenberg, 1834	accepted	NA	60	Class	1292	Anthozoa	Ehrenberg, 1834	1267	Animalia	Cnidaria	Anthozoa	NA	NA	NA	WoRMS (2021). Anthozoa. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1292 on 2021-01-29	urn:lsid:marinespecies.org:taxname:1292	1	1	NA	0	NA	exact	2017-12-08T10:14:01.583Z	1292	aphia_id
106122	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106122	Balanus	Costa, 1778	accepted	NA	180	Genus	106122	Balanus	Costa, 1778	106073	Animalia	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	WoRMS (2021). Balanus Costa, 1778. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=106122 on 2021-01-29	urn:lsid:marinespecies.org:taxname:106122	1	NA	NA	NA	NA	exact	2010-10-22T06:14:53.203Z	106122	aphia_id
106673	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106673	Brachyura	Latreille, 1802	accepted	NA	120	Infraorder	106673	Brachyura	Latreille, 1802	106670	Animalia	Arthropoda	Malacostraca	Decapoda	NA	NA	WoRMS (2021). Brachyura. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=106673 on 2021-01-29	urn:lsid:marinespecies.org:taxname:106673	1	1	1	1	NA	exact	2016-04-15T09:36:33.657Z	106673	aphia_id
